Wait rate;Signal diffusion;Iterations;Mean size;Mean distance;Number of cluster
1.15798;2;400000;65.55555555555556;31.18615410941091;9.0;
1.15948;2;400000;73.875;41.78089236867363;8.0;
1.16097;2;400000;60.3;28.599388202419416;10.0;
1.16247;2;400000;53.72727272727273;37.85238234498447;11.0;
1.16396;2;400000;84.28571428571429;43.59064932450344;7.0;
1.16546;2;400000;59.8;32.4236110972588;10.0;
1.16695;2;400000;65.55555555555556;28.640026829127304;9.0;
1.16845;2;400000;53.54545454545455;32.93652606649199;11.0;
1.16994;2;400000;45.07692307692308;34.28775660493678;13.0;
1.17144;2;400000;74.25;37.097545551183956;8.0;
1.17293;2;400000;53.63636363636363;24.672931768195298;11.0;
1.17443;2;400000;60.3;31.898721482291823;10.0;
1.17592;2;400000;48.666666666666664;30.23560111354723;12.0;
1.17742;2;400000;65.22222222222223;37.67977283131375;9.0;
1.17891;2;400000;53.27272727272727;30.780875133294938;11.0;
1.18041;2;400000;58.6;33.38702819176977;10.0;
1.1819;2;400000;73.0;37.174641531397214;8.0;
1.1834;2;400000;54.90909090909091;29.35781436556957;11.0;
1.18489;2;400000;54.27272727272727;32.78012910904853;11.0;
1.18639;2;400000;65.22222222222223;38.28123159411419;9.0;
1.18788;2;400000;59.0;35.2954143468625;10.0;
1.18938;2;400000;73.25;36.490739884183505;8.0;
1.19087;2;400000;55.81818181818182;41.1527966796427;11.0;
1.19237;2;400000;53.45454545454545;30.90077821474459;11.0;
1.19386;2;400000;73.375;38.09835395193103;8.0;
1.19536;2;400000;74.125;39.746207878295955;8.0;
1.19685;2;400000;63.1;35.310302654961454;10.0;
1.19835;2;400000;50.416666666666664;28.135261317965835;12.0;
1.19984;2;400000;48.916666666666664;28.551847819275697;12.0;
1.20134;2;400000;73.5;35.999016528182985;8.0;
1.20283;2;400000;84.28571428571429;40.426828034149175;7.0;
1.20433;2;400000;73.75;35.14745347914102;8.0;
1.20582;2;400000;53.45454545454545;32.97270250244126;11.0;
1.20732;2;400000;58.3;32.72192776053116;10.0;
1.20881;2;400000;61.4;34.73276547525405;10.0;
1.21031;2;400000;73.625;38.632395556882415;8.0;
1.2118;2;400000;65.33333333333333;33.859179898790195;9.0;
1.2133;2;400000;48.38461538461539;39.05602368370383;13.0;
1.21479;2;400000;59.0;35.243318480835114;10.0;
1.21629;2;400000;53.81818181818182;30.820056957917433;11.0;
1.21778;2;400000;65.0;25.835388305952204;9.0;
1.21928;2;400000;97.83333333333333;36.03410730949869;6.0;
1.22077;2;400000;58.4;35.92030543344957;10.0;
1.22227;2;400000;58.6;31.905713914453536;10.0;
1.22376;2;400000;65.88888888888889;39.95760384090483;9.0;
1.22526;2;400000;53.27272727272727;30.91930921017391;11.0;
1.22675;2;400000;88.0;35.679820341236756;7.0;
1.22825;2;400000;73.875;28.25208589584605;8.0;
1.22974;2;400000;53.54545454545455;38.13024404636151;11.0;
1.23124;2;400000;50.5;35.65357185750881;12.0;
1.23273;2;400000;59.2;36.1051343448258;10.0;
1.23423;2;
